ticket_id,status,status_group,priority,source,topic,product_group,support_level,agent_group,agent_name,country,latitude,longitude,created_at,created_date,year_month,created_year,created_month_number,created_month_name,created_quarter,created_day_name,expected_first_response_at,first_response_at,response_target_minutes,first_response_minutes,source_response_sla_status,calculated_response_sla_status,response_sla_breached,expected_resolution_at,resolution_at,resolution_target_hours,resolution_hours,source_resolution_sla_status,calculated_resolution_sla_status,resolution_sla_breached,closed_at,closure_hours,agent_interactions,survey_score,is_active_backlog,is_completed,active_overdue,backlog_age_days,invalid_response_timestamp,response_sla_label_mismatch,resolution_sla_label_mismatch,data_quality_issue,agent_id
1012,Closed,Completed,Low,Email,Feature request,Custom software development,Tier 1,1st line support,Kristos Westoll,Republic of Ireland,53.094024,-8.019675,2023-01-02 00:58:36.000000,2023-01-02,2023-01,2023,1,January,Q1,Monday,2023-01-02 01:58:36.000000,2023-01-02 01:03:17.432000,60.0,4.69,Within SLA,Within SLA,False,2023-01-04 00:58:36.000000,2023-01-04 00:31:51.694000,48.0,47.55,Within SLA,Within SLA,False,2023-01-04 04:02:59.013000,51.07,1.0,3.0,False,True,False,0.0,False,False,False,None,AG003
1013,In progress,Active,High,Phone,Product setup,Other,Tier 2,2nd line support,Adolpho Messingham,Italy,43.036776,12.678565,2023-01-02 07:27:25.000000,2023-01-02,2023-01,2023,1,January,Q1,Monday,2023-01-02 07:29:25.000000,2023-01-02 07:27:43.231000,2.0,0.3,Within SLA,Within SLA,False,2023-01-04 07:27:25.000000,,48.0,,SLA Violated,SLA Violated,True,,,3.0,,True,False,True,366.93,False,False,False,None,AG006
1014,Resolved,Completed,Low,Chat,Purchasing and invoicing,Custom software development,Tier 1,1st line support,Bernard Beckley,Austria,47.6964719,13.3457347,2023-01-02 06:59:04.000000,2023-01-02,2023-01,2023,1,January,Q1,Monday,2023-01-02 07:01:04.000000,2023-01-02 06:59:57.471000,2.0,0.89,Within SLA,Within SLA,False,2023-01-03 06:59:04.000000,2023-01-02 22:45:32.974000,24.0,15.77,Within SLA,Within SLA,False,,,2.0,,False,True,False,0.0,False,False,False,None,AG001
1015,Closed,Completed,Medium,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,Spain,39.67337,-4.767726,2023-01-03 03:09:39.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 04:09:39.000000,2023-01-03 07:09:15.835000,60.0,239.61,SLA Violated,SLA Violated,True,2023-01-05 03:09:39.000000,2023-01-04 14:32:34.979000,48.0,35.38,Within SLA,Within SLA,False,2023-01-08 04:24:54.771000,121.25,10.0,4.0,False,True,False,0.0,False,False,False,None,AG002
1016,Closed,Completed,Low,Email,Product setup,Other,Tier 1,1st line support,Kristos Westoll,Austria,47.6964719,13.3457347,2023-01-03 00:03:58.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 01:03:58.000000,2023-01-03 00:08:01.684000,60.0,4.06,Within SLA,Within SLA,False,2023-01-05 00:03:58.000000,2023-01-04 12:03:05.986000,48.0,35.99,Within SLA,Within SLA,False,2023-01-06 06:05:08.637000,78.02,1.0,2.0,False,True,False,0.0,False,False,False,None,AG003
1017,Closed,Completed,Low,Email,Purchasing and invoicing,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Greece,39.368279,21.863141,2023-01-03 14:25:42.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 15:25:42.000000,2023-01-03 14:45:14.430000,60.0,19.54,Within SLA,Within SLA,False,2023-01-05 14:25:42.000000,2023-01-04 01:55:56.533000,48.0,11.5,Within SLA,Within SLA,False,2023-01-10 16:41:07.865000,170.26,2.0,2.0,False,True,False,0.0,False,False,False,None,AG005
1018,Closed,Completed,Low,Phone,Product setup,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Republic of Ireland,53.094024,-8.019675,2023-01-03 15:32:02.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 15:34:02.000000,2023-01-03 15:34:00.278000,2.0,1.97,Within SLA,Within SLA,False,2023-01-05 15:32:02.000000,2023-01-05 03:51:37.031000,48.0,36.33,Within SLA,Within SLA,False,2023-01-07 21:52:35.202000,102.34,2.0,3.0,False,True,False,0.0,False,False,False,None,AG003
1019,Resolved,Completed,Medium,Chat,Pricing and licensing,Training and Consulting Services,Tier 2,2nd line support,Michele Whyatt,Poland,52.536273,19.050639,2023-01-03 00:38:48.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 00:40:48.000000,2023-01-03 00:39:30.256000,2.0,0.7,Within SLA,Within SLA,False,2023-01-04 00:38:48.000000,2023-01-05 12:47:55.793000,24.0,60.15,SLA Violated,SLA Violated,True,,,2.0,,False,True,False,0.0,False,False,False,None,AG008
1020,Resolved,Completed,Medium,Chat,Product setup,Other,Tier 1,1st line support,Kristos Westoll,Germany,51.165691,10.451526,2023-01-03 09:37:54.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 09:39:54.000000,2023-01-03 09:41:55.452000,2.0,4.02,SLA Violated,SLA Violated,True,2023-01-04 09:37:54.000000,2023-01-03 20:31:37.896000,24.0,10.9,Within SLA,Within SLA,False,,,6.0,,False,True,False,0.0,False,False,False,None,AG003
1021,Closed,Completed,Low,Email,Product setup,Training and Consulting Services,Tier 1,1st line support,Bernard Beckley,Czech Republic,49.8037633,15.4749126,2023-01-03 09:27:35.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 10:27:35.000000,2023-01-03 10:24:48.183000,60.0,57.22,Within SLA,Within SLA,False,2023-01-05 09:27:35.000000,2023-01-04 10:16:32.492000,48.0,24.82,Within SLA,Within SLA,False,2023-01-07 20:25:29.487000,106.97,1.0,4.0,False,True,False,0.0,False,False,False,None,AG001
1024,Closed,Completed,Medium,Chat,Other,Custom software development,Tier 1,1st line support,Bernard Beckley,Czech Republic,49.8037633,15.4749126,2023-01-03 16:41:11.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 16:43:11.000000,2023-01-03 16:43:40.942000,2.0,2.5,SLA Violated,SLA Violated,True,2023-01-04 16:41:11.000000,2023-01-03 23:52:18.292000,24.0,7.19,Within SLA,Within SLA,False,2023-01-06 00:38:58.704000,55.96,60.0,5.0,False,True,False,0.0,False,False,False,None,AG001
1025,Closed,Completed,Low,Chat,Bug report,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,2023-01-03 04:50:04.000000,2023-01-03,2023-01,2023,1,January,Q1,Tuesday,2023-01-03 04:52:04.000000,2023-01-03 04:50:05.187000,2.0,0.02,Within SLA,Within SLA,False,2023-01-04 04:50:04.000000,2023-01-07 13:17:12.368000,24.0,104.45,SLA Violated,SLA Violated,True,2023-01-09 05:37:59.166000,144.8,3.0,3.0,False,True,False,0.0,False,False,False,None,AG005
1026,Closed,Completed,Low,Chat,Bug report,Ready to use Software,Tier 1,1st line support,Nicola Wane,Bulgaria,42.7249925,25.4833039,2023-01-04 10:49:27.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 10:51:27.000000,2023-01-04 10:50:41.566000,2.0,1.24,Within SLA,Within SLA,False,2023-01-05 10:49:27.000000,2023-01-04 23:37:37.290000,24.0,12.8,Within SLA,Within SLA,False,2023-01-05 12:53:53.016000,26.07,2.0,4.0,False,True,False,0.0,False,False,False,None,AG004
1027,Resolved,Completed,Low,Chat,Training request,Training and Consulting Services,Tier 1,1st line support,Bernard Beckley,United Kingdom,55.378052,-3.435973,2023-01-04 07:27:56.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 07:29:56.000000,2023-01-04 07:28:51.784000,2.0,0.93,Within SLA,Within SLA,False,2023-01-05 07:27:56.000000,2023-01-05 04:41:40.506000,24.0,21.23,Within SLA,Within SLA,False,,,3.0,,False,True,False,0.0,False,False,False,None,AG001
